USER_ID,TYPE,AMOUNT,CURRENCY,MERCHANT_COUNTRY,KYC,BIRTH_YEAR,COUNTRY,IS_FRAUD
demo-user-0092,TOPUP,10617,EUR,,PASSED,1994,GB,False
demo-user-0730,CARD_PAYMENT,72973,EUR,GBR,PENDING,1992,GB,False
demo-user-0603,CARD_PAYMENT,16928,PLN,DEU,PASSED,1984,LT,False
demo-user-0550,CARD_PAYMENT,26724,EUR,GBR,PASSED,1972,RO,False
demo-user-0447,TOPUP,94011,PLN,,FAILED,1978,FR,False
demo-user-0036,ATM,8932,EUR,NLD,PASSED,1967,DE,False
demo-user-0157,ATM,6905,GBP,GBR,PASSED,1969,GB,False
demo-user-0487,CARD_PAYMENT,42473,GBP,FRA,PENDING,1970,ES,False
demo-user-0552,CARD_PAYMENT,87244,GBP,FRA,PASSED,1991,RO,False
demo-user-0122,CARD_PAYMENT,71038,USD,ITA,PASSED,1970,PL,False
demo-user-0786,CARD_PAYMENT,57985,EUR,ESP,FAILED,1959,GB,False
demo-user-0640,CARD_PAYMENT,47392,USD,IRL,PASSED,1952,PL,False
demo-user-0771,P2P,33177,USD,,PASSED,1988,GB,False
demo-user-0081,CARD_PAYMENT,57439,EUR,IRL,PASSED,1954,PL,False
demo-user-0316,ATM,20770,EUR,LTU,PASSED,1976,GB,False
demo-user-0443,CARD_PAYMENT,3216,GBP,ITA,FAILED,1954,GB,False
demo-user-0727,CARD_PAYMENT,63774,GBP,GBR,PASSED,1965,ES,False
demo-user-0304,CARD_PAYMENT,60835,GBP,POL,FAILED,1972,PT,False
demo-user-0328,TOPUP,11369,EUR,,PASSED,1964,GB,False
demo-user-0120,CARD_PAYMENT,7389,PLN,LTU,PASSED,1955,LT,False
demo-user-0740,CARD_PAYMENT,36649,GBP,USA,NONE,1987,DE,False
demo-user-0059,CARD_PAYMENT,28841,PLN,ESP,PASSED,1967,RO,False
demo-user-0450,CARD_PAYMENT,46465,GBP,ITA,FAILED,1966,DE,False
demo-user-0205,CARD_PAYMENT,78158,GBP,DEU,PASSED,1959,GB,False
